X1.1;X1.2;X2.1;X2.2;Z1.1;Z1.2;Z2.1;Z2.2;y1;y2;lam1;lam2;psi1;psi2
0;1;0.514273255;0.2595944;-0.003969558;-0.304717248;0.812937184;-0.496450768;0;2;54.59815003;2.230920241;0.801631059;0.009293732
1;0;0.322375178;1.237368148;0.306710461;0.705861751;0.414976607;0.619895757;0;2;0.367879441;3.33507004;0.950341783;0.1441436
0;1;0.592721632;0.420824065;-0.832686229;-0.714729642;-0.085859064;2.006025518;0;0;54.59815003;3.31676185;0.860514529;0.861702556
1;1;0.200953056;0.587263007;-0.639055077;-0.281134258;-1.908208906;0.211941681;0;0;7.389056099;1.209397346;0.916545803;0.998375145
1;1;0.518850275;0.323905219;-0.791074997;-0.508989865;0.663251984;-2.351675067;0;1;7.389056099;2.411999434;0.897397146;0.001615025
0;0;0.215144928;0.449122479;0.624785968;-0.908188107;0.661685731;1.327337528;2;1;2.718281828;1.099172103;0.320047142;0.13917614
1;0;0.339046165;0.172890464;0.255004883;0.569095804;-0.946084552;-0.085779119;0;0;0.367879441;1.209284617;0.940233575;0.919870821
1;0;0.396608244;0.260236;0.261144972;-0.601656531;1.478432957;-0.086706357;0;3;0.367879441;1.568407436;0.599881043;0.001289119
1;0;0.086496949;0.699925378;-0.2182203;-0.216299511;0.775822969;-0.250538319;0;1;0.367879441;0.960228718;0.869294064;0.014449949
0;0;0.87519381;0.249303249;-0.135492852;-0.352875511;0.231068252;0.395344715;0;7;2.718281828;6.520067175;0.81719956;0.202244459
1;0;1.291111228;0.723048693;-0.302731995;0.20421181;-1.134234404;1.236937459;0;0;0.367879441;36.46607498;0.945962343;0.991833792
0;0;0.134918521;0.171399022;0.587115517;0.082543359;0.573126494;0.143859111;0;0;2.718281828;0.654525055;0.783200105;0.04882756
1;1;0.169910302;0.046189428;0.773872224;0.981647465;-2.089841901;-1.449448571;0;0;7.389056099;0.64141432;0.942810047;0.993471943
1;0;0.010200139;0.200611899;0.302254173;-0.492417902;0.249851659;0.269867164;0;0;0.367879441;0.463574726;0.636864977;0.168036162
0;0;0.183605061;0.151841807;0.185726529;0.470539786;0.545560448;1.338686491;0;0;2.718281828;0.742789184;0.934776631;0.202217272
1;1;0.400137616;0.634053728;-0.344355812;0.955216322;-0.574520217;1.611143131;0;0;7.389056099;2.303584932;0.988190444;0.959626857
0;1;1.040015427;0.019603838;-0.848621264;0.116092484;0.447459026;-0.287230187;0;12;54.59815003;8.496464347;0.970833009;0.045781654
0;0;0.383597169;0.065759031;0.182774484;-0.214583681;-1.234534497;0.94373342;1;0;2.718281828;1.241785842;0.78527417;0.991911344
0;0;0.26271742;0.152615367;-0.643326473;0.649378519;-1.26353162;-1.123470807;0;0;2.718281828;0.942487735;0.986125715;0.911646385
1;1;0.070349307;0.745342279;0.482700248;-0.775231078;0.358258707;2.264680946;0;0;7.389056099;0.957327435;0.431799613;0.619489277
1;1;0.172756893;0.217554386;-0.412247584;0.071555808;-0.508542366;0.556464766;0;0;7.389056099;0.767839206;0.9405586;0.832383526
1;0;0.22988975;0.300161096;0.278371621;-0.11233683;0.33848408;-0.287404574;0;1;0.367879441;0.989881881;0.795396847;0.067322121
1;0;0.255096331;0.523207158;-0.750355205;-0.452085575;-1.631849259;1.175890676;0;0;0.367879441;1.334419214;0.902151461;0.998626883
1;1;0.635855688;0.045712503;-0.489468432;-0.685284928;-2.012432401;-0.339670764;0;0;7.389056099;2.594203583;0.796349487;0.997810812
1;0;0.212636922;0.667923634;0.641149375;0.743676147;-0.443527607;-0.787139055;0;1;0.367879441;1.357757444;0.925919039;0.420506309
1;0;0.454751863;0.642913125;0.607560786;0.124089713;-0.898872396;-0.3114682;0;0;0.367879441;2.737838425;0.791969511;0.878834182
1;1;0.062558995;0.145741163;-0.908330739;0.101379517;1.075176473;0.162434812;0;0;7.389056099;0.513460667;0.972488526;0.007932143
1;0;0.199215705;0.315739588;0.751063444;0.184730571;0.380473018;0.893269937;0;1;0.367879441;0.917031646;0.776062485;0.212455655
0;0;0.020868833;0.497805127;-0.74398182;0.455625725;-0.08498298;-0.331946854;0;0;2.718281828;0.644301577;0.982488386;0.25044368
0;1;0.083829091;1.055510204;0.217662807;0.277850569;-0.688832643;0.031649652;7;3;54.59815003;1.35933754;0.902841814;0.835165019
1;1;0.163757478;0.817972864;-0.060866253;0.22890033;1.839400174;1.03360032;0;0;7.389056099;1.362396523;0.927513031;0.001350741
1;0;0.81516562;0.213121679;0.114582171;-0.895166299;0.396433071;-0.238083134;0;6;0.367879441;5.252050322;0.509447412;0.058182443
1;1;0.298405875;0.135319669;0.460785569;0.130315506;1.869827383;0.603838867;0;1;7.389056099;1.03100834;0.827705566;0.000704685
1;1;0.076374772;0.045165582;-0.060282622;0.174682761;1.117700485;0.52440358;0;0;7.389056099;0.483980771;0.91981156;0.010603906
0;0;0.168621372;0.147539511;0.977220118;0.25713415;0.775683223;-0.637659616;0;0;2.718281828;0.707090671;0.740474863;0.008960871
0;0;0.109921707;0.168296142;0.969336769;0.24378129;-0.554984032;-0.843538123;0;0;2.718281828;0.605355896;0.737604996;0.506691467
1;1;0.157746897;0.406279189;-0.213430638;-0.835459916;2.227324647;-0.60935167;0;0;7.389056099;0.886494712;0.656836051;4.05E-05
0;1;0.01302706;0.281729435;0.217694275;-0.844714776;0.713639913;-1.790486264;0;0;54.59815003;0.507027831;0.496007344;0.00269339
0;1;0.001938869;0.021122218;-0.30903254;0.37418938;-0.718453518;-0.239846664;0;0;54.59815003;0.377924373;0.961280674;0.801292533
0;1;0.365108758;0.243910489;-0.125774876;0.660607185;-0.41123733;1.484426933;0;0;54.59815003;1.403875689;0.970967488;0.916649736
0;0;0.230370749;0.221193545;-0.541736073;-0.70818025;2.09570521;0.661382168;0;0;2.718281828;0.916040951;0.80158713;0.000324738
0;0;0.204290109;0.438200907;-0.987855504;0.567060145;1.090176136;-0.815279233;0;1;2.718281828;1.052397857;0.990203677;0.002221698
0;1;0.747505829;0.747184117;-0.952246224;-0.027099842;-1.145373663;-0.435736846;0;0;54.59815003;7.313351164;0.966887447;0.939940463
0;0;0.759583187;0.050180109;-0.882483143;0.978530211;-2.054807893;0.731536584;0;0;2.718281828;3.776998587;0.994937327;0.999509674
0;0;0.036313478;0.083778877;0.52915129;-0.001790091;1.258064781;1.504735785;0;0;2.718281828;0.44606942;0.769003486;0.021106884
0;0;0.591478777;0.085603203;-0.061911989;0.12452107;-0.647538957;-0.309714349;0;0;2.718281828;2.363254118;0.912289049;0.739067625
0;1;1.250157497;0.335367279;0.70166376;-0.243485959;-0.490571125;-1.286853914;0;18;54.59815003;21.88583821;0.613140479;0.31671155
0;0;0.014209231;0.499190099;0.163438781;0.037274395;-1.872816805;-1.042607425;0;0;2.718281828;0.632432231;0.861689116;0.99116188
0;0;0.819962611;0.138425181;-0.626223475;-0.851432416;1.743736367;1.048286776;0;8;2.718281828;4.944683779;0.774949036;0.001968225
1;1;0.275052188;0.08594534;0.218121957;0.076944688;-0.117328073;-0.622917082;0;1;7.389056099;0.914938805;0.861368903;0.207729507
0;0;0.458295595;0.71079156;0.786683466;0.922122002;-1.643244794;1.708738402;0;0;2.718281828;2.96144802;0.934881969;0.999323628
0;1;0.058185416;0.048519854;0.588642332;0.055620279;1.262658685;0.508508406;10;0;54.59815003;0.459818286;0.773516877;0.006063811
1;1;0.204462953;0.398840309;0.008185668;-0.125681096;0.008234391;0.27650993;0;1;7.389056099;1.01230425;0.850224039;0.335092448
0;0;0.667418677;0.681739453;-0.153943453;-0.935466007;-0.953098563;1.397915225;0;0;2.718281828;5.387036855;0.589036359;0.986894274
1;1;0.334592105;0.258472348;0.308762575;-0.924531639;-1.223908102;-1.707887641;4;1;7.389056099;1.299849728;0.422576093;0.81073542
0;1;0.143169874;0.746315979;0.775477029;-0.905303412;0.112979062;1.048224397;8;1;54.59815003;1.192230116;0.274119279;0.471682588
0;1;0.220814653;0.127326567;0.784032942;-0.678081929;1.290195772;1.664942651;0;0;54.59815003;0.810398258;0.370000826;0.022819503
1;0;0.127219476;0.280325886;-0.643218924;-0.061805213;-0.197259786;-0.951796988;0;0;0.367879441;0.713184101;0.944862949;0.189998174
1;0;0.014890511;0.527198109;-0.48499515;0.61184795;-0.712101879;-0.279553858;0;0;0.367879441;0.651726451;0.981131056;0.789338009
0;1;0.583960135;0.092838713;-0.773122991;-0.438804968;1.157153957;0.400906576;0;4;54.59815003;2.327324017;0.90738154;0.007859092
1;0;0.240240339;0.050059584;0.594317917;0.50956797;1.068261656;-1.400223728;0;0;0.367879441;0.795154058;0.893562571;0.001162219
0;0;0.089867007;0.146700305;-0.780923022;0.04365163;1.249347262;0.151661075;0;0;2.718281828;0.557831309;0.962984044;0.004088518
0;1;0.026373943;0.427377067;0.65814339;-0.422105614;0.308292561;-0.572697527;0;2;54.59815003;0.610485275;0.542043905;0.053556758
0;0;0.502374254;0.861154608;0.542092594;-0.965245597;-0.877099988;0.329786511;0;0;2.718281828;3.928577371;0.322210855;0.937106734
1;0;0.275998096;0.089930937;0.887378809;0.33669906;0.444145583;-0.263389517;0;0;0.367879441;0.921203073;0.792872832;0.047662125
0;1;0.05535373;1.938109433;-0.066084813;-0.866048071;-0.452207661;0.617944891;0;3;54.59815003;3.016721432;0.590741388;0.812785139
1;0;0.568833833;0.690160093;0.879711295;0.672772854;-2.576439995;-0.162895975;0;0;0.367879441;4.041684627;0.883497812;0.999787855
1;0;0.873419771;0.11934854;0.570365885;-0.729313688;0.352108151;-0.508324066;0;5;0.367879441;5.695109661;0.422095704;0.049462601
1;0;0.313247436;0.031190791;0.74921575;0.311756217;0.908875833;0.331401516;0;0;0.367879441;0.971351477;0.817528059;0.018091916
0;0;0.244559025;0.41438007;-0.211074693;0.675895458;0.421644306;0.574377732;0;0;2.718281828;1.159579159;0.975117736;0.134331201
1;0;1.315661134;0.192314619;-0.800601678;-0.484704008;0.219473897;0.533314331;0;20;0.367879441;23.08765414;0.903042292;0.239324915
1;0;0.077306234;0.128609111;-0.446077159;-0.72800943;0.070967385;0.248375922;0;1;0.367879441;0.527570809;0.770846447;0.277748419
1;1;0.030950839;0.062848648;0.444444102;0.526976828;0.520012035;-0.718008791;0;0;7.389056099;0.429858654;0.915852761;0.020886263
0;0;0.399641718;0.796983259;-0.287389641;-0.576007533;-0.736188995;-1.327092277;0;2;2.718281828;2.707182463;0.782291325;0.525438863
0;1;0.624426161;1.378663363;-0.234576233;-0.464060802;-1.410527998;1.595332737;0;0;54.59815003;9.506177445;0.805924491;0.998136895
0;1;0.351389196;0.649221939;-0.936062698;0.063662389;0.135977571;0.432787927;0;1;54.59815003;2.020589957;0.971568631;0.275093631
0;1;0.106414225;0.025369555;0.042890574;-0.051766265;-0.802603177;-1.089499129;0;0;54.59815003;0.519240677;0.862015466;0.656534371
1;0;0.152907288;0.411313851;-0.757844179;-0.25311267;0.573874906;-1.317985536;0;2;0.367879441;0.878126791;0.932801464;0.008166516
0;0;0.231900298;0.113004131;0.770368353;0.550699857;-1.452303886;-0.341594846;0;0;2.718281828;0.825888934;0.874993113;0.982348858
0;1;0.024927162;0.145394539;-0.850707402;0.11640794;1.610866244;-0.297555264;0;0;54.59815003;0.45848671;0.970939294;0.000603179
0;1;0.140447321;0.246009748;0.568455894;-0.689526758;1.414903087;0.088512642;0;0;54.59815003;0.717022335;0.442323543;0.002034953
1;1;0.141582162;0.190232412;0.708264605;0.978836897;-1.009571286;1.09064461;0;0;7.389056099;0.680436278;0.947612462;0.984467986
0;0;1.309478548;0.028125527;-0.925643659;-0.511107139;1.419078156;-1.526453071;0;18;2.718281828;19.23172329;0.914217322;0.000266569
1;1;0.453601793;0.453112187;-0.449712981;-0.739242976;-1.451162438;1.51928992;5;0;7.389056099;2.256731588;0.767827331;0.998240512
0;1;0.14956892;0.018246216;0.284139898;-0.574637729;-0.344047466;0.45208542;30;0;54.59815003;0.586814205;0.60456307;0.701674568
0;1;0.58803171;0.40728794;0.570156719;-0.239991503;-0.088506864;-0.079239441;21;2;54.59815003;3.226451962;0.66033376;0.317096252
1;0;0.318799446;0.201455139;-0.199874576;-0.280757662;0.929428134;0.305569285;0;0;0.367879441;1.170994603;0.850470565;0.016248162
1;0;0.20283752;0.656561152;0.870604659;-0.394675902;0.612747399;-0.856469178;0;3;0.367879441;1.303527056;0.476203294;0.012513074
1;0;0.000275325;0.0798673;-0.218966058;-0.911200573;-1.504173922;1.103924645;0;0;0.367879441;0.39879542;0.623879564;0.997577568
0;0;0.524371165;0.897850837;-0.152081386;0.869566706;-0.714092249;0.780172653;0;0;2.718281828;4.353431274;0.981426212;0.934199449
0;1;1.117415411;1.021591047;-0.427156598;0.13743406;-0.195792532;-1.404252148;0;33;54.59815003;29.19032386;0.948612382;0.117006
1;0;0.064902322;0.283280867;0.223496817;-0.55839451;0.564337012;-0.881562745;0;0;0.367879441;0.593325475;0.633663502;0.014511197
0;1;0.326153651;1.679798956;0.117625477;0.755922351;1.25732499;-0.172393521;0;5;54.59815003;5.250167132;0.965623688;0.002650215
1;1;0.018619334;0.267795834;-0.92006573;-0.065422387;-0.634592835;-0.887327832;2;1;7.389056099;0.508471473;0.96264629;0.567231199
0;0;0.196948014;0.331319918;0.490563894;0.084699629;0.424232788;-1.655935474;4;3;2.718281828;0.925116095;0.807454376;0.009370331
0;0;0.727454364;0.059137518;-0.587025159;0.568796348;0.180031186;-0.637804527;0;7;2.718281828;3.460802881;0.98233124;0.077817801
1;0;0.130013798;0.472060328;0.31299193;0.295740545;-0.229594919;-0.289857827;0;1;0.367879441;0.871187306;0.893022495;0.377225502
0;0;0.057625157;0.312607751;0.044829343;-0.710213706;-0.073207712;-1.421294983;27;2;2.718281828;0.59778939;0.625352188;0.075711806
0;0;0.553926067;0.778442808;0.26687317;-0.356725246;-0.682172428;-0.121995097;0;2;2.718281828;4.221628737;0.708113581;0.80307936
1;1;0.741840813;0.326707849;0.235126268;0.902111165;-0.084889299;-1.070779271;0;0;7.389056099;4.721989838;0.969276823;0.117104596
1;1;0.038291722;0.083270358;-0.430208905;-0.623603018;1.582434021;-1.887753944;0;0;7.389056099;0.448496467;0.801883377;9.20E-05
0;0;0.239529568;0.295577321;-0.552385555;0.500808497;-2.407024831;-0.743221032;0;0;2.718281828;1.014266839;0.978755739;0.999173362
